topic,type,message_file,interface_file,status
/fmu/in/actuator_motors,px4_msgs/msg/ActuatorMotors,messages/fmu_in_actuator_motors.msg.txt,interfaces/fmu_in_actuator_motors.interface.txt,ok
/fmu/in/actuator_servos,px4_msgs/msg/ActuatorServos,messages/fmu_in_actuator_servos.msg.txt,interfaces/fmu_in_actuator_servos.interface.txt,ok
/fmu/in/arming_check_reply_v1,px4_msgs/msg/ArmingCheckReply,messages/fmu_in_arming_check_reply_v1.msg.txt,interfaces/fmu_in_arming_check_reply_v1.interface.txt,no_message_timeout_or_error
/fmu/in/aux_global_position,px4_msgs/msg/VehicleGlobalPosition,messages/fmu_in_aux_global_position.msg.txt,interfaces/fmu_in_aux_global_position.interface.txt,no_message_timeout_or_error
/fmu/in/config_control_setpoints,px4_msgs/msg/VehicleControlMode,messages/fmu_in_config_control_setpoints.msg.txt,interfaces/fmu_in_config_control_setpoints.interface.txt,no_message_timeout_or_error
/fmu/in/config_overrides_request,px4_msgs/msg/ConfigOverrides,messages/fmu_in_config_overrides_request.msg.txt,interfaces/fmu_in_config_overrides_request.interface.txt,no_message_timeout_or_error
/fmu/in/distance_sensor,px4_msgs/msg/DistanceSensor,messages/fmu_in_distance_sensor.msg.txt,interfaces/fmu_in_distance_sensor.interface.txt,no_message_timeout_or_error
/fmu/in/fixed_wing_lateral_setpoint,px4_msgs/msg/FixedWingLateralSetpoint,messages/fmu_in_fixed_wing_lateral_setpoint.msg.txt,interfaces/fmu_in_fixed_wing_lateral_setpoint.interface.txt,no_message_timeout_or_error
/fmu/in/fixed_wing_longitudinal_setpoint,px4_msgs/msg/FixedWingLongitudinalSetpoint,messages/fmu_in_fixed_wing_longitudinal_setpoint.msg.txt,interfaces/fmu_in_fixed_wing_longitudinal_setpoint.interface.txt,no_message_timeout_or_error
/fmu/in/goto_setpoint,px4_msgs/msg/GotoSetpoint,messages/fmu_in_goto_setpoint.msg.txt,interfaces/fmu_in_goto_setpoint.interface.txt,no_message_timeout_or_error
/fmu/in/landing_gear,px4_msgs/msg/LandingGear,messages/fmu_in_landing_gear.msg.txt,interfaces/fmu_in_landing_gear.interface.txt,no_message_timeout_or_error
/fmu/in/lateral_control_configuration,px4_msgs/msg/LateralControlConfiguration,messages/fmu_in_lateral_control_configuration.msg.txt,interfaces/fmu_in_lateral_control_configuration.interface.txt,no_message_timeout_or_error
/fmu/in/longitudinal_control_configuration,px4_msgs/msg/LongitudinalControlConfiguration,messages/fmu_in_longitudinal_control_configuration.msg.txt,interfaces/fmu_in_longitudinal_control_configuration.interface.txt,no_message_timeout_or_error
/fmu/in/manual_control_input,px4_msgs/msg/ManualControlSetpoint,messages/fmu_in_manual_control_input.msg.txt,interfaces/fmu_in_manual_control_input.interface.txt,no_message_timeout_or_error
/fmu/in/message_format_request,px4_msgs/msg/MessageFormatRequest,messages/fmu_in_message_format_request.msg.txt,interfaces/fmu_in_message_format_request.interface.txt,no_message_timeout_or_error
