ray_deg,dist_m,lat,lon,robot_yaw_enu_deg
0,10,48.25224380,11.60487720,181.2
0,9,48.25224361,11.60486370,181.2
0,8,48.25224341,11.60485019,181.2
0,7,48.25224322,11.60483669,181.2
0,6,48.25224302,11.60482319,181.2
0,5,48.25224283,11.60480968,181.2
0,4,48.25224263,11.60479618,181.2
0,3,48.25224244,11.60478268,181.2
0,2,48.25224224,11.60476917,181.2
0,1,48.25224205,11.60475567,181.2
30,10,48.25228849,11.60485765,211.2
30,9,48.25228383,11.60484610,211.2
30,8,48.25227917,11.60483455,211.2
30,7,48.25227450,11.60482300,211.2
30,6,48.25226984,11.60481146,211.2
30,5,48.25226517,11.60479991,211.2
30,4,48.25226051,11.60478836,211.2
30,3,48.25225585,11.60477681,211.2
30,2,48.25225118,11.60476526,211.2
30,1,48.25224652,11.60475372,211.2
45,10,48.25230681,11.60483558,226.2
45,9,48.25230031,11.60482624,226.2
45,8,48.25229382,11.60481690,226.2
45,7,48.25228732,11.60480756,226.2
45,6,48.25228083,11.60479822,226.2
45,5,48.25227433,11.60478888,226.2
45,4,48.25226783,11.60477953,226.2
45,3,48.25226134,11.60477019,226.2
45,2,48.25225484,11.60476085,226.2
45,1,48.25224835,11.60475151,226.2
90,10,48.25233176,11.60473925,271.2
90,9,48.25232277,11.60473954,271.2
90,8,48.25231378,11.60473983,271.2
90,7,48.25230479,11.60474012,271.2
90,6,48.25229580,11.60474041,271.2
90,5,48.25228681,11.60474071,271.2
90,4,48.25227782,11.60474100,271.2
90,3,48.25226883,11.60474129,271.2
90,2,48.25225984,11.60474158,271.2
90,1,48.25225084,11.60474188,271.2
135,10,48.25230405,11.60464462,316.2
135,9,48.25229783,11.60465437,316.2
135,8,48.25229161,11.60466413,316.2
135,7,48.25228539,11.60467388,316.2
135,6,48.25227917,11.60468364,316.2
135,5,48.25227295,11.60469339,316.2
135,4,48.25226673,11.60470315,316.2
135,3,48.25226051,11.60471290,316.2
135,2,48.25225429,11.60472266,316.2
135,1,48.25224807,11.60473241,316.2
180,10,48.25223991,11.60460714,1.2
180,9,48.25224010,11.60462064,1.2
180,8,48.25224030,11.60463414,1.2
180,7,48.25224049,11.60464765,1.2
180,6,48.25224069,11.60466115,1.2
180,5,48.25224088,11.60467465,1.2
180,4,48.25224108,11.60468816,1.2
180,3,48.25224127,11.60470166,1.2
180,2,48.25224146,11.60471516,1.2
180,1,48.25224166,11.60472867,1.2
225,10,48.25217690,11.60464875,46.2
225,9,48.25218340,11.60465809,46.2
225,8,48.25218989,11.60466744,46.2
225,7,48.25219639,11.60467678,46.2
225,6,48.25220288,11.60468612,46.2
225,5,48.25220938,11.60469546,46.2
225,4,48.25221587,11.60470480,46.2
225,3,48.25222237,11.60471414,46.2
225,2,48.25222886,11.60472349,46.2
225,1,48.25223536,11.60473283,46.2
270,10,48.25215194,11.60474509,91.2
270,9,48.25216093,11.60474480,91.2
270,8,48.25216992,11.60474451,91.2
270,7,48.25217892,11.60474421,91.2
270,6,48.25218791,11.60474392,91.2
270,5,48.25219690,11.60474363,91.2
270,4,48.25220589,11.60474334,91.2
270,3,48.25221488,11.60474305,91.2
270,2,48.25222387,11.60474275,91.2
270,1,48.25223286,11.60474246,91.2
315,10,48.25217965,11.60483972,136.2
315,9,48.25218587,11.60482996,136.2
315,8,48.25219209,11.60482021,136.2
315,7,48.25219831,11.60481045,136.2
315,6,48.25220453,11.60480070,136.2
315,5,48.25221075,11.60479094,136.2
315,4,48.25221697,11.60478119,136.2
315,3,48.25222319,11.60477143,136.2
315,2,48.25222941,11.60476168,136.2
315,1,48.25223563,11.60475192,136.2
330,10,48.25219858,11.60486057,151.2
330,9,48.25220291,11.60484873,151.2
330,8,48.25220724,11.60483689,151.2
330,7,48.25221156,11.60482505,151.2
330,6,48.25221589,11.60481321,151.2
330,5,48.25222022,11.60480137,151.2
330,4,48.25222455,11.60478953,151.2
330,3,48.25222887,11.60477769,151.2
330,2,48.25223320,11.60476585,151.2
330,1,48.25223753,11.60475401,151.2
